client_name,area,customer_category
12 Urban Cafe Canggu (Price Indication),Local,Restaurant
25 Hours Hotel,Local,Hotel
32Do Bali,Local,Cafe
Abisena,Local,Hotel
Adiwana Jembawan,Local,Hotel
Agave & Azul (PT Vatos Tamora Indonesia),Local,
Age Butcher Bali,Local,Restaurant
Akasa Kintamani,Local,Cafe
Alila Jakarta,Local,Hotel
Alila Seminyak,Local,Hotel
Alila Uluwatu,Local,Hotel
Amankila,Local,Hotel
Amarterra Villas Bali Nusa Dua,Local,Hotel
Andaz Bali,Local,Hotel
Anna Kersova,Export,Personal
Arna Beach Glamping ,Local,Hotel
Arya Sumba Resort,Local,Hotel
Asa Maia,Local,Hotel
Ayana Bali,Local,Hotel
Ayana Hospitality,Local,Hotel
Ayana Jakarta Mid Plaza,Local,Restaurant
BGS,Local,Restaurant
Bakerman,Local,Cafe
Balcony ,Local,Restaurant
Bali Asli,Local,Restaurant
Bali Boga Utama,Local,Restaurant
Bali Dorm Villas - Joyce & Ralph,Local,Hotel
Bali Good Food Catering,Local,Restaurant
Bali Meraki,Local,Restaurant
Bali Radiance,Local,Hotel
Balikpapan Boga Utama,Local,Restaurant
Bambootel,Local,Hotel
Bandung Boga Utama,Local,Restaurant
Banyan Tree,Local,Hotel
Bar Vera Pererenan,Local,Restaurant
Barbacoa,Local,Restaurant
Barbarossa,Local,Restaurant
Bawah Reserve,Local,Hotel
Begawan Restaurant ,Local,Restaurant
Belmond Jimbaran Puri,Local,Hotel
Billy Ho,Local,Restaurant
Blanche Bistro,Local,Restaurant
Bodas Dessert Bar,Local,Restaurant
Boga Utama,Local,Restaurant
Bokashi,Local,Restaurant
Bottega,Local,Restaurant
Boy and Cow,Local,Restaurant
Budi Susanti - Personal Order,Local,Personal
Buzo Salazon,Local,Restaurant
Bvlgari,Local,Hotel
CV Pasar Tani Indoguna,Local,Restaurant
Cafe Kistune ,Local,Cafe
Canton PIK,Local,Restaurant
Cap Karoso,Local,Hotel
Capella Taipei,Export,Hotel
Capella Ubud,Local,Hotel
Cempaka,Local,
Chella Uluwatu,Local,Restaurant
Chroma Hospitality,,
Cipaku Boga Utama,Local,Restaurant
Cush Cush Gallery ,Local,
Da Maria,Local,Restaurant
Dali & Jennifer,Local,Personal
Dine and Chat Jambi,Local,Cafe
Double tree by hilton ,,Hotel
Dragonfly Villa,Local,Hotel
Drifter,Local,Restaurant
Driss Tabbakalt,Local,Personal
Earth Island Bali,Local,Restaurant
Eden,Local,Restaurant
Eliza Bonosusatya - Personal Order,Local,Personal
Expat,Local,Cafe
Fairmont Jakarta,Local,Hotel
Fieldwork,Local,Hotel
Filinvest,Export,Agent
Flores Runaway,Local,Hotel
Four Season Jakarta,Local,Hotel
Four Season Jimbaran,Local,Hotel
Four Season Langkawi,Export,Hotel
Four Season Nam Hai,Export,Hotel
Four Season Sayan,Local,Hotel
Four Seasons Jakarta,Local,Hotel
French Kiss,Local,Restaurant
Further Hotel,Local,Hotel
GAB's Gastro Bar,Local,Restaurant
Ghost Panther,,
Gili Meno - Bask,Local,Hotel
Ginger Moon,Local,Restaurant
Gio Private Villa,,Hotel
Grand Hyatt Jakarta,Local,Hotel
Grand Hyatt Kuwait,Export,Hotel
Grand Melia Bali,Local,Hotel
Greek Restaurant,Local,Restaurant
Hamish & Raisa,Local,Personal
Handara Golf & Resort Bali,Local,Hotel
Hilton Bali,Local,Hotel
Hiyoko,Local,Restaurant
Holiday Inn Benoa,Local,Hotel
Hotel Permana Hijau,Local,Hotel
Hujan Locale,Local,Restaurant
Ibu Ming (Elaine),Local,Personal
Indigo Bandung ,Local,Restaurant
Indigo Bintan,Local,Hotel
Indigo Seminyak,Local,Hotel
Intercontinental Bali,Local,Hotel
Intercontinental Bandung,Local,Hotel
Ismaya Jakarta,Local,Restaurant
Japa Ubud,Local,Hotel
Jeffrey Grimes,Export,Personal
Jin Joo,Local,Restaurant
Joali Maldives,Export,Hotel
Joyce and Ralph,Local,Hotel
Jumeirah Bali,Local,Hotel
Kafe Ubud,Local,Restaurant
Kaia Restaurant ,,Restaurant
Kala Uluwatu,Local,Restaurant
Kanvaz Patisserie,Local,Cafe
Kebun Bistro,Local,Restaurant
Keraton,Local,Hotel
Kiros Hospitality,Export,Hotel
Ku De Ta,Local,Restaurant
LXR,Local,Hotel
La Brisa,Local,Restaurant
La Favella,Local,Restaurant
La Plancha,Local,Restaurant
La Reserve,Local,Restaurant
Langham,Local,Hotel
Le Meridien Jakarta,Local,Hotel
Le Reserve Bali,Local,Restaurant
Little Lane,Local,
Locavore,Local,Restaurant
Lombok Lodge,Local,Hotel
Luna Beach Hotel,Local,Hotel
Luxury Collection Laboan Bajo,Local,Hotel
Luxury Collection Lombok,Local,Hotel
MBS - Fieldcrest,Export,Hotel
MG Hotel Supplies LLC ,Export,Agent
Mactan Seascapes Services,Export,Hotel
Made By Rumah,Local,Retail
Makasar Boga Utama,Local,Restaurant
Mama San,Local,Restaurant
Mana Uluwatu,Local,Restaurant
Mandara SPA,Local,Spa
Mandarin Oriental,Export,Hotel
Marea,Local,Restaurant
Margaret Bistro Canggu,Local,Restaurant
Mari Beach Club,Local,Restaurant
Mason,Local,Restaurant
Mason Uluwatu,Local,Restaurant
Maya Sanur,Local,Hotel
Maya Ubud,Local,Hotel
Melia Bali,Local,Hotel
Menjangan Dynasty,Local,Hotel
Meru Sanur,Local,Hotel
Mexicola Canggu,Local,Restaurant
Mexicola Seminyak,Local,Restaurant
Micha Sanubari,Local,Hotel
Michael Lorenti,Local,Personal
Milano Canggu (White Goose Boutique Hotel),Local,Restaurant
Milk Bar,Local,Restaurant
Milk and Madu Berawa,Local,Restaurant
Milk and Madu Ubud,Local,Restaurant
Milk and Madu Uluwatu,Local,Restaurant
Mimpi Resort Menjangan,Local,Hotel
Miss Fish,Local,Restaurant
Monokuro,Local,Restaurant
Mozaic Ubud,Local,Restaurant
Nam Heong,Local,Personal
Naughty Nuri's,Local,Restaurant
Nawa Laboan Bajo,Local,Hotel
New World Phu Quoc,Export,Hotel
Nihi Rote,Local,Hotel
Nihi Sumba,Local,Hotel
Novotel Bali Benoa,Local,Hotel
Nusa Dua Beach Hotel ,Local,Hotel
Nusa Penida Beach Resort,Local,Hotel
Nusantara Ubud,Local,Restaurant
Oberoi Bali,Local,Hotel
Omma Bali ,Local,Restaurant
Ootoya Jakarta,Local,Restaurant
Optimist Pererenan,Local,Restaurant
PT Indoguna Utama,Local,Restaurant
PT Lombok Kulina Utama,Local,Restaurant
PT Wakatobi Resort,Local,Hotel
Pablo Long Time,Local,Restaurant
Padma Ubud,Local,Hotel
Pahdi Speciality Coffee,Local,Cafe
Pak Dio Personal Order,Local,Personal
Palembang Boga Utama,Local,Restaurant
Pan Pacific Hotel,Local,Hotel
Paola Buendia,Local,Personal
Park Hyatt Jakarta,Local,Hotel
Potato Head,Local,Restaurant
R&B Steak Bali,Local,Restaurant
R&B Steak Palembang,Local,Restaurant
Raffles Bahrain,Export,Hotel
Raffles Bali,Local,Hotel
Raffles Singapore ,Export,Hotel
Rayjin,Local,Restaurant
Regen Canggu,Local,Hotel
Renarte,Export,Agent
Revolver Airport,Local,Restaurant
Revolver Seminyak,Local,Restaurant
Revolver Umalas,Local,Restaurant
Ritz Carlton Bahrain,Export,Hotel
Ritz Carlton Bali,Local,Hotel
Ritz Carlton Maldives ,Export,Hotel
Ritz Carlton Mega Kuningan,Local,Hotel
Ritz-Carlton Pacific Place Jakarta,Local,Hotel
Riviera Cafe,Local,Restaurant
Riviera Pererenan,Local,Restaurant
Rosewood Hotel Doha,Export,Hotel
Samabe,Local,Hotel
Samanvaya,Local,Hotel
Samara Boat,Local,
Samara Lombok ,Local,Hotel
Santanera,Local,Restaurant
Sardine,Local,Restaurant
Savaya,Local,Restaurant
Sazon,Local,Restaurant
Seniman Coffee,Local,Hotel
Sharon Frances,Local,Personal
Shelter Pererenan,Local,Restaurant
Shelter Seminyak,Local,Restaurant
Sheraton Melbourne Hotel,Export,Hotel
ShiShi Seminyak,Local,Restaurant
Si Jin,Local,Restaurant
Silolona,Local,Hotel
Simon & Son's,Local,Restaurant
Sindalah,Export,Hotel
Six Sense Fiji,Export,Hotel
Six Sense Kanuhura,Export,Hotel
Six Sense London,Export,Hotel
Six Sense Southern Dunes,Export,Hotel
Six Sense Uluwatu,Local,Hotel
Sofitel,Local,Hotel
Soichiro,Local,Restaurant
Solana,Local,Spa
St Regis Bali,Local,Hotel
St Regis Jakarta,Local,Hotel
Suarga,Local,Hotel
Sudamala Resort,Local,Hotel
Surabaya Boga Utama,Local,Restaurant
Surasang Restaurant,Local,Restaurant
Sushi Tei Bandung,Local,Restaurant
Swissotel Jakarta,Local,Hotel
TS Suites Seminyak,Local,Hotel
Tabula Rasa Lombok,Local,
Tanadewa,Local,Hotel
Tejaprana Bisma,Local,Hotel
Tejaprana Resort and Spa,Local,Hotel
The Apurva Kempinski Bali,Local,Hotel
The Cave,Local,Restaurant
The Damai Hotel,Local,Hotel
The Edge,Local,Restaurant
The Kayon Ubud,Local,Hotel
The Kemilau ,Local,Hotel
The Laguna,Local,Hotel
The Lemon Tree Curacao,Export,Restaurant
The Lynx Jakarta,Local,Restaurant
The Melia Sante,Export,Restaurant
The Oberoi Bali,Local,Hotel
The Royal Purnama ,Local,Hotel
The Sanubari,Local,Hotel
The Sourcing Bali,Local,Agent
The Westin,Local,Hotel
Three Monkeys Sanur,Local,Restaurant
Ulekan,Local,Restaurant
Ulu Garden,Local,Restaurant
Umalas Hotel Siganature,Local,Hotel
Viktoria Forina,Local,Personal
Wakatobi ,Local,Hotel
Waterbom,Local,Restaurant
Wolf Gang Puck,Local,Restaurant
Woo Bo,Local,Restaurant
Wrong Gym,Local,Restaurant
Yawara,Local,Restaurant
Zest Ubud,Local,Restaurant
Zi Biru,Local,Restaurant
